bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Closure_148,0,8,0.9769,1.0000,0.3333,0.5427
Closure_148,0,9,0.9962,1.0000,0.3333,0.5534
Closure_148,0,10,0.9929,1.0000,0.3333,0.5516
Closure_148,0,11,0.9967,1.0000,0.3333,0.5537
Closure_148,0,12,0.9934,1.0000,0.3333,0.5519
Closure_148,0,13,0.9883,1.0000,0.3333,0.5490
Closure_148,0,14,0.9944,1.0000,0.3333,0.5525
Closure_148,0,15,0.9968,1.0000,0.3333,0.5538
Closure_148,1,2,0.9596,0.3413,0.0000,0.3275
Closure_148,1,3,0.9979,0.2153,0.0000,0.2149
Closure_148,1,4,0.9736,0.0000,0.0000,0.0000
Closure_148,1,5,0.9958,0.2153,0.0000,0.2144
Closure_148,1,6,1.0000,0.6045,0.0000,0.6045
Closure_148,1,7,0.9905,0.2153,0.0000,0.2133
Closure_148,1,8,0.9769,0.4307,0.0000,0.4207
Closure_148,1,9,0.9554,0.0000,0.0000,0.0000
Closure_148,1,10,0.9960,0.2153,0.0000,0.2145
Closure_148,1,11,0.9969,0.0000,0.0000,0.0000
Closure_148,1,12,0.9927,0.0000,0.0000,0.0000
Closure_148,1,13,0.9902,0.0000,0.0000,0.0000
Closure_148,1,14,0.9951,0.0000,0.0000,0.0000
Closure_148,1,15,0.9982,0.0000,0.0000,0.0000
Closure_148,2,3,0.9963,0.2153,0.0000,0.2145
Closure_148,2,4,0.9736,0.3413,0.0000,0.3323
Closure_148,2,5,0.9954,0.4307,0.0000,0.4287
Closure_148,2,6,1.0000,0.6826,0.0000,0.6826
Closure_148,2,7,0.9899,0.4307,0.0000,0.4263
Closure_148,2,8,0.9481,0.5566,0.0000,0.5278
Closure_148,2,9,0.9813,0.3413,0.0000,0.3349
Closure_148,2,10,0.9838,0.4307,0.0000,0.4237
Closure_148,2,11,0.9964,0.0000,0.0000,0.0000
Closure_148,2,12,0.9922,0.0000,0.0000,0.0000
Closure_148,2,13,0.9883,0.0000,0.0000,0.0000
Closure_148,2,14,0.9944,0.0000,0.0000,0.0000
Closure_148,2,15,0.9919,0.0000,0.0000,0.0000
Closure_148,3,4,1.0000,0.2153,0.0000,0.2153
Closure_148,3,5,0.9099,0.3413,0.0000,0.3106
Closure_148,3,6,1.0000,0.6460,0.0000,0.6460
Closure_148,3,7,0.9985,0.3413,0.0000,0.3408
Closure_148,3,8,1.0000,0.5000,0.0000,0.5000
Closure_148,3,9,0.8637,0.2153,0.0000,0.1860
Closure_148,3,10,0.9395,0.3413,0.0000,0.3207
Closure_148,3,11,0.8149,0.0000,0.0000,0.0000
Closure_148,3,12,0.9933,0.0000,0.0000,0.0000
Closure_148,3,13,1.0000,0.0000,0.0000,0.0000
Closure_148,3,14,0.9419,0.0000,0.0000,0.0000
Closure_148,3,15,0.8906,0.0000,0.0000,0.0000
Closure_148,4,5,0.9884,0.2153,0.0000,0.2128
Closure_148,4,6,1.0000,0.6045,0.0000,0.6045
Closure_148,4,7,0.9899,0.2153,0.0000,0.2132
Closure_148,4,8,0.9751,0.4307,0.0000,0.4200
Closure_148,4,9,0.9887,0.0000,0.0000,0.0000
Closure_148,4,10,0.9925,0.2153,0.0000,0.2137
Closure_148,4,11,0.9925,0.0000,0.0000,0.0000
Closure_148,4,12,0.9862,0.0000,0.0000,0.0000
Closure_148,4,13,0.9883,0.0000,0.0000,0.0000
Closure_148,4,14,0.9939,0.0000,0.0000,0.0000
Closure_148,4,15,0.9960,0.0000,0.0000,0.0000
Closure_148,5,6,1.0000,0.5566,0.0000,0.5566
Closure_148,5,7,0.9738,0.3413,0.0000,0.3324
Closure_148,5,8,0.9996,0.5000,0.0000,0.4998
Closure_148,5,9,0.9668,0.2153,0.0000,0.2082
Closure_148,5,10,0.9542,0.3413,0.0000,0.3257
